E (V),Av. I2 0uL,Av. I2 30uL,Av. I2 40uL,Av. I2 50uL,Av. I2 60uL,Av. I2 70uL
0.5859375,6.64E-07,1.05E-06,1.33E-06,1.61E-06,1.83E-06,2.03E-06
0.5908203,6.79E-07,1.09E-06,1.38E-06,1.66E-06,1.89E-06,2.07E-06
0.5957031,6.94E-07,1.12E-06,1.42E-06,1.71E-06,1.94E-06,2.12E-06
0.6005859,7.11E-07,1.16E-06,1.47E-06,1.77E-06,1.99E-06,2.17E-06
0.6054688,7.28E-07,1.2E-06,1.52E-06,1.82E-06,2.04E-06,2.23E-06
0.6103516,7.47E-07,1.25E-06,1.58E-06,1.88E-06,2.1E-06,2.28E-06
0.6152344,7.68E-07,1.29E-06,1.63E-06,1.93E-06,2.15E-06,2.33E-06
0.6201172,7.89E-07,1.34E-06,1.69E-06,1.99E-06,2.21E-06,2.39E-06
0.625,8.11E-07,1.39E-06,1.74E-06,2.05E-06,2.27E-06,2.44E-06
0.6298828,8.35E-07,1.44E-06,1.8E-06,2.11E-06,2.33E-06,2.5E-06
0.6347656,8.6E-07,1.49E-06,1.86E-06,2.16E-06,2.38E-06,2.56E-06
0.6396484,8.87E-07,1.55E-06,1.92E-06,2.22E-06,2.44E-06,2.61E-06
0.6445313,9.15E-07,1.6E-06,1.98E-06,2.28E-06,2.5E-06,2.67E-06
0.6494141,9.46E-07,1.66E-06,2.04E-06,2.34E-06,2.56E-06,2.73E-06
0.6542969,9.78E-07,1.72E-06,2.1E-06,2.4E-06,2.62E-06,2.79E-06
0.6591797,1.01E-06,1.77E-06,2.16E-06,2.46E-06,2.67E-06,2.84E-06
0.6640625,1.05E-06,1.84E-06,2.22E-06,2.52E-06,2.73E-06,2.9E-06
0.6689453,1.09E-06,1.9E-06,2.28E-06,2.57E-06,2.78E-06,2.95E-06
0.6738281,1.13E-06,1.96E-06,2.34E-06,2.63E-06,2.83E-06,3E-06
0.6787109,1.17E-06,2.02E-06,2.39E-06,2.68E-06,2.88E-06,3.04E-06
0.6835938,1.22E-06,2.08E-06,2.45E-06,2.74E-06,2.93E-06,3.08E-06
0.6884766,1.27E-06,2.14E-06,2.51E-06,2.79E-06,2.98E-06,3.12E-06
0.6933594,1.33E-06,2.21E-06,2.57E-06,2.84E-06,3.02E-06,3.16E-06
0.6982422,1.38E-06,2.27E-06,2.62E-06,2.89E-06,3.06E-06,3.2E-06
0.703125,1.45E-06,2.34E-06,2.68E-06,2.94E-06,3.1E-06,3.23E-06
0.7080078,1.51E-06,2.41E-06,2.74E-06,2.98E-06,3.14E-06,3.27E-06
0.7128906,1.58E-06,2.47E-06,2.8E-06,3.03E-06,3.18E-06,3.3E-06
0.7177734,1.66E-06,2.54E-06,2.85E-06,3.08E-06,3.22E-06,3.33E-06
0.7226563,1.74E-06,2.61E-06,2.91E-06,3.13E-06,3.26E-06,3.36E-06
0.7275391,1.82E-06,2.68E-06,2.97E-06,3.17E-06,3.3E-06,3.39E-06
0.7324219,1.91E-06,2.76E-06,3.03E-06,3.22E-06,3.33E-06,3.42E-06
0.7373047,2.01E-06,2.83E-06,3.09E-06,3.27E-06,3.37E-06,3.45E-06
0.7421875,2.11E-06,2.9E-06,3.15E-06,3.31E-06,3.4E-06,3.47E-06
0.7470703,2.22E-06,2.97E-06,3.2E-06,3.35E-06,3.43E-06,3.49E-06
0.7519531,2.34E-06,3.05E-06,3.26E-06,3.39E-06,3.45E-06,3.51E-06
0.7568359,2.46E-06,3.11E-06,3.31E-06,3.42E-06,3.47E-06,3.52E-06
